ad_id,account_id,city_name,district_name,inserted_date,have_mini_cv,have_full_cv
114979023,18082567,Đà Nẵng,Quận Hải Châu,1/1/2021,0,0
114979322,3039703,Hải Phòng,Huyện An Dương,1/1/2021,0,0
114979967,4114166,Long An,Huyện Đức Hòa,1/1/2021,0,0
114980024,5272665,Tp Hồ Chí Minh,Quận 9,1/1/2021,0,0
114980040,15705627,Tp Hồ Chí Minh,Quận 12,1/1/2021,0,0
114980300,18805711,Tp Hồ Chí Minh,Quận 7,1/1/2021,1,0
114980341,18436484,Tp Hồ Chí Minh,Quận 4,1/1/2021,1,0
114980391,15650139,Tp Hồ Chí Minh,Huyện Bình Chánh,1/1/2021,0,0
114980418,15536834,Tp Hồ Chí Minh,Quận Tân Phú,1/1/2021,0,0
114980698,18875260,Tp Hồ Chí Minh,Quận 8,1/1/2021,0,0
114981054,837307,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114981101,17788963,Tiền Giang,Huyện Cai Lậy,1/1/2021,0,0
114981127,10435911,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114981283,18919668,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114981581,18803277,Tp Hồ Chí Minh,Quận 12,1/1/2021,0,0
114981597,3453613,Tp Hồ Chí Minh,Quận Tân Phú,1/1/2021,0,0
114981669,15479581,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114982033,17786270,Tp Hồ Chí Minh,Quận Bình Thạnh,1/1/2021,0,0
114982050,12898460,Hà Nội,Huyện Thanh Trì,1/1/2021,0,0
114982112,15517437,Đà Nẵng,Quận Cẩm Lệ,1/1/2021,0,0
114982176,18932059,Tp Hồ Chí Minh,Quận 7,1/1/2021,0,0
114982230,3388651,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114982312,9225180,Tp Hồ Chí Minh,Quận 5,1/1/2021,1,0
114982445,16234839,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114982770,17886761,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114982935,18932192,Hà Nội,Quận Cầu Giấy,1/1/2021,0,0
114983229,12341354,Tp Hồ Chí Minh,Huyện Bình Chánh,1/1/2021,0,0
114983309,15359791,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114983537,18921791,Tp Hồ Chí Minh,Huyện Củ Chi,1/1/2021,0,0
114983621,11083686,Đà Nẵng,Quận Thanh Khê,1/1/2021,0,0
114983676,12452085,Tp Hồ Chí Minh,Quận 12,1/1/2021,0,0
114983690,18901609,Tp Hồ Chí Minh,Quận Tân Phú,1/1/2021,0,0
114983731,18919668,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114983752,4219452,Đà Nẵng,Quận Hải Châu,1/1/2021,0,0
114983855,10642862,Bình Dương,Thị xã Tân Uyên,1/1/2021,0,0
114984094,11100426,Tp Hồ Chí Minh,Quận Tân Phú,1/1/2021,0,0
114984158,14761489,Phú Yên,Thành phố Tuy Hòa,1/1/2021,0,0
114984764,1699908,Tp Hồ Chí Minh,Quận Bình Thạnh,1/1/2021,0,0
114984939,16286804,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114985118,9157468,Tp Hồ Chí Minh,Quận Tân Bình,1/1/2021,0,0
114985325,18932154,Hà Nội,Quận Hoàng Mai,1/1/2021,0,0
114985369,14634601,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114985693,18888026,Bình Dương,Thành phố Thủ Dầu Một,1/1/2021,1,0
114985859,18617215,Đà Nẵng,Quận Ngũ Hành Sơn,1/1/2021,0,0
114986099,1190606,Tp Hồ Chí Minh,Quận Tân Bình,1/1/2021,0,0
114986352,18779957,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114986430,18433342,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,1,1
114986376,18932839,Tiền Giang,Thị xã Cai Lậy,1/1/2021,0,0
114986464,4721866,Tp Hồ Chí Minh,Quận 9,1/1/2021,0,0
114987189,3994386,Tp Hồ Chí Minh,Quận Tân Bình,1/1/2021,0,0
114987259,14038270,Hà Nội,Quận Nam Từ Liêm,1/1/2021,0,0
114987281,18784048,Tp Hồ Chí Minh,Huyện Củ Chi,1/1/2021,0,0
114987385,1703109,Tp Hồ Chí Minh,Quận 2,1/1/2021,0,0
114987781,10367854,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,1,0
114987803,13013898,Bình Dương,Thị xã Dĩ An,1/1/2021,0,0
114988039,18028865,Tp Hồ Chí Minh,Huyện Nhà Bè,1/1/2021,0,0
114988096,15847342,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114988395,2064316,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,1,0
114988476,17620078,Tp Hồ Chí Minh,Huyện Nhà Bè,1/1/2021,0,0
114988634,18933268,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114988882,18206576,Lâm Đồng,Thành phố Đà Lạt,1/1/2021,0,0
114988962,18296729,Bình Dương,Thị xã Dĩ An,1/1/2021,0,0
114988995,9116924,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114989023,18120078,Tp Hồ Chí Minh,Quận 12,1/1/2021,0,0
114989071,18420474,Tp Hồ Chí Minh,Quận 10,1/1/2021,0,0
114989140,9116924,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114989190,716026,Hà Nội,Quận Ba Đình,1/1/2021,0,0
114989397,17314196,Tp Hồ Chí Minh,Quận Tân Bình,1/1/2021,0,0
114989409,9116924,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114989725,4969137,Tp Hồ Chí Minh,Quận Tân Phú,1/1/2021,0,0
114989757,16607506,Bình Dương,Thị xã Thuận An,1/1/2021,0,0
114989791,12494003,Tp Hồ Chí Minh,Huyện Hóc Môn,1/1/2021,0,0
114989826,494984,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114989852,17569850,Tp Hồ Chí Minh,Quận Gò Vấp,1/1/2021,0,0
114989972,18398860,Bình Dương,Thị xã Bến Cát,1/1/2021,0,0
114990122,18846848,Tp Hồ Chí Minh,Quận 8,1/1/2021,0,0
114990133,1615651,Tp Hồ Chí Minh,Quận Bình Tân,1/1/2021,0,0
114990142,18398860,Tp Hồ Chí Minh,Quận Tân Bình,1/1/2021,0,0
114990155,18933428,Quảng Nam,Huyện Hiệp Đức,1/1/2021,0,0
114990167,494984,Tp Hồ Chí Minh,Quận Thủ Đức,1/1/2021,0,0
114990190,5294503,Tp Hồ Chí Minh,Huyện Củ Chi,1/1/2021,0,0
