cv_id,account_id,list_id,created_date,updated_date,use_ad,have_mini_cv
10216,18888459,,1/1/2021,1/1/2021,0,0
10217,10377400,,1/1/2021,1/1/2021,0,0
10218,9709490,,1/1/2021,1/1/2021,0,0
10219,14437673,,1/1/2021,1/1/2021,0,0
10220,18931723,,1/1/2021,1/1/2021,0,0
10221,18796751,,1/1/2021,1/1/2021,0,0
10222,18932748,,1/1/2021,1/1/2021,0,0
10223,18756392,,1/1/2021,1/1/2021,0,0
10224,295664,,1/1/2021,1/1/2021,0,0
10225,1100483,,1/1/2021,1/1/2021,0,0
10226,1540594,,1/1/2021,1/1/2021,0,0
10227,1323504,,1/1/2021,1/1/2021,0,0
10228,4877107,,1/2/2021,1/2/2021,1,0
10229,18935729,,1/2/2021,1/2/2021,0,0
10230,18818249,,1/2/2021,1/2/2021,1,0
10231,9303274,,1/2/2021,1/2/2021,1,0
10232,18917536,,1/2/2021,1/2/2021,1,1
10233,18936596,,1/2/2021,1/2/2021,0,0
10234,9943097,,1/2/2021,1/12/2021,0,0
10235,18931237,,1/2/2021,1/2/2021,0,0
10236,281443,,1/2/2021,1/2/2021,1,0
10237,3658576,,1/2/2021,1/2/2021,1,1
10238,137903,,1/2/2021,1/2/2021,0,0
10239,18735223,,1/2/2021,1/2/2021,0,1
10240,12478704,,1/2/2021,1/2/2021,0,0
10241,10493903,,1/2/2021,1/2/2021,0,0
10242,483680,,1/2/2021,1/2/2021,0,0
10243,18939340,,1/2/2021,1/2/2021,1,0
10244,14074661,,1/2/2021,1/2/2021,0,0
10245,11637675,,1/2/2021,1/2/2021,1,0
10246,12891717,,1/2/2021,1/2/2021,0,0
10247,18322689,,1/2/2021,1/2/2021,0,0
10248,4530282,,1/2/2021,1/2/2021,0,0
10249,18940892,,1/2/2021,1/2/2021,0,0
10250,18941453,,1/2/2021,1/2/2021,0,0
10251,9852783,,1/2/2021,1/2/2021,0,0
10252,13534167,,1/2/2021,1/2/2021,0,0
10253,10168545,,1/3/2021,1/3/2021,0,0
10254,18412987,,1/3/2021,1/3/2021,1,0
10255,4865713,,1/3/2021,1/3/2021,0,0
10256,18629439,,1/3/2021,1/3/2021,0,0
10257,11667439,,1/3/2021,1/3/2021,0,0
10258,13819669,,1/3/2021,1/3/2021,0,0
10259,13289708,,1/3/2021,1/3/2021,0,0
